,customer_id,store_id,first_name,last_name,email,activebool,create_date,last_update,active,address_id,address,address2,district,postal_code,phone,last_updateaddress_id,city_id,city,last_updatecity_id,country_id,country,last_updatecountry_id
6.0,534,1,Christian,Jung,christian.jung@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,0,543.0,43 Vilnius Manor,,Colorado,79814.0,484500282381.0,2006-02-15 09:45:30,43.0,Avellaneda,2006-02-15 09:45:25,7.0,Armenia,2006-02-15 09:44:00
6.0,396,1,Earl,Shanks,earl.shanks@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,403.0,1190 0 Place,,Rio Grande do Sul,10417.0,841876514789.0,2006-02-15 09:45:30,45.0,Baha Blanca,2006-02-15 09:45:25,7.0,Armenia,2006-02-15 09:44:00
6.0,446,2,Theodore,Culp,theodore.culp@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,0,453.0,319 Springs Loop,,Baijeri,99552.0,72524459905.0,2006-02-15 09:45:30,161.0,Escobar,2006-02-15 09:45:25,7.0,Armenia,2006-02-15 09:44:00
6.0,120,2,Sylvia,Ortiz,sylvia.ortiz@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,125.0,211 Chiayi Drive,,Uttar Pradesh,58186.0,665993880048.0,2006-02-15 09:45:30,165.0,Ezeiza,2006-02-15 09:45:25,7.0,Armenia,2006-02-15 09:44:00
6.0,486,1,Glen,Talbert,glen.talbert@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,493.0,184 Mandaluyong Street,,Baja California Sur,94239.0,488425406814.0,2006-02-15 09:45:30,289.0,La Plata,2006-02-15 09:45:25,7.0,Armenia,2006-02-15 09:44:00
6.0,180,2,Stacy,Cunningham,stacy.cunningham@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,185.0,682 Garden Grove Place,,Tennessee,67497.0,72136330362.0,2006-02-15 09:45:30,334.0,Merlo,2006-02-15 09:45:25,7.0,Armenia,2006-02-15 09:44:00
6.0,457,2,Bill,Gavin,bill.gavin@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,464.0,76 Kermanshah Manor,,Esfahan,23343.0,762361821578.0,2006-02-15 09:45:30,424.0,Quilmes,2006-02-15 09:45:25,7.0,Armenia,2006-02-15 09:44:00
6.0,343,1,Douglas,Graf,douglas.graf@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,350.0,1628 Nagareyama Lane,,Central,60079.0,20064292617.0,2006-02-15 09:45:30,454.0,San Miguel de Tucumn,2006-02-15 09:45:25,7.0,Armenia,2006-02-15 09:44:00
6.0,177,2,Samantha,Duncan,samantha.duncan@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,182.0,1891 Rizhao Boulevard,,So Paulo,47288.0,391065549876.0,2006-02-15 09:45:30,457.0,Santa F,2006-02-15 09:45:25,7.0,Armenia,2006-02-15 09:44:00
6.0,371,1,Billy,Poulin,billy.poulin@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,378.0,1191 Tandil Drive,,Southern Tagalog,6362.0,45554316010.0,2006-02-15 09:45:30,524.0,Tandil,2006-02-15 09:45:25,7.0,Armenia,2006-02-15 09:44:00
6.0,122,1,Thelma,Murray,thelma.murray@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,127.0,117 Boa Vista Way,,Uttar Pradesh,6804.0,677976133614.0,2006-02-15 09:45:30,567.0,Vicente Lpez,2006-02-15 09:45:25,7.0,Armenia,2006-02-15 09:44:00
7.0,359,2,Willie,Markham,willie.markham@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,366.0,114 Jalib al-Shuyukh Manor,,Centre,60440.0,845378657301.0,2006-02-15 09:45:30,586.0,Yerevan,2006-02-15 09:45:25,8.0,Australia,2006-02-15 09:44:00
8.0,200,2,Jeanne,Lawson,jeanne.lawson@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,205.0,68 Molodetno Manor,,Nordrhein-Westfalen,4662.0,146640639760.0,2006-02-15 09:45:30,576.0,Woodridge,2006-02-15 09:45:25,9.0,Austria,2006-02-15 09:44:00
9.0,117,1,Edith,Mcdonald,edith.mcdonald@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,122.0,333 Goinia Way,,Texas,78625.0,909029256431.0,2006-02-15 09:45:30,186.0,Graz,2006-02-15 09:45:25,10.0,Azerbaijan,2006-02-15 09:44:00
9.0,62,1,Joan,Cooper,joan.cooper@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,67.0,1214 Hanoi Way,,Nebraska,67055.0,491001136577.0,2006-02-15 09:45:30,307.0,Linz,2006-02-15 09:45:25,10.0,Azerbaijan,2006-02-15 09:44:00
9.0,267,1,Margie,Wade,margie.wade@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,274.0,920 Kumbakonam Loop,,California,75090.0,685010736240.0,2006-02-15 09:45:30,447.0,Salzburg,2006-02-15 09:45:25,10.0,Azerbaijan,2006-02-15 09:44:00
10.0,493,1,Brent,Harkins,brent.harkins@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,500.0,362 Rajkot Lane,,Gansu,98030.0,962020153680.0,2006-02-15 09:45:30,48.0,Baku,2006-02-15 09:45:25,11.0,Bahrain,2006-02-15 09:44:00
10.0,491,2,Rick,Mattox,rick.mattox@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,498.0,319 Plock Parkway,,Istanbul,26101.0,854259976812.0,2006-02-15 09:45:30,505.0,Sumqayit,2006-02-15 09:45:25,11.0,Bahrain,2006-02-15 09:44:00
11.0,69,2,Judy,Gray,judy.gray@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,74.0,1124 Buenaventura Drive,,Mekka,6856.0,407733804223.0,2006-02-15 09:45:30,14.0,al-Manama,2006-02-15 09:45:25,12.0,Bangladesh,2006-02-15 09:44:00
12.0,481,1,Herman,Devore,herman.devore@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,488.0,698 Jelets Boulevard,,Denizli,2596.0,975185523021.0,2006-02-15 09:45:30,143.0,Dhaka,2006-02-15 09:45:25,13.0,Belarus,2006-02-15 09:44:00
12.0,233,2,Lillie,Kim,lillie.kim@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,238.0,346 Skikda Parkway,,Hawalli,90628.0,630424482919.0,2006-02-15 09:45:30,234.0,Jamalpur,2006-02-15 09:45:25,13.0,Belarus,2006-02-15 09:44:00
12.0,403,1,Mike,Way,mike.way@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,410.0,88 Nagaon Manor,,Buenos Aires,86868.0,779461480495.0,2006-02-15 09:45:30,525.0,Tangail,2006-02-15 09:45:25,13.0,Belarus,2006-02-15 09:44:00
13.0,252,2,Mattie,Hoffman,mattie.hoffman@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,258.0,752 Ondo Loop,,Miyazaki,32474.0,134673576619.0,2006-02-15 09:45:30,339.0,Mogiljov,2006-02-15 09:45:25,14.0,Bolivia,2006-02-15 09:44:00
13.0,524,1,Jared,Ely,jared.ely@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,533.0,556 Asuncin Way,,Mogiljov,35364.0,338244023543.0,2006-02-15 09:45:30,340.0,Molodetno,2006-02-15 09:45:25,14.0,Bolivia,2006-02-15 09:44:00
14.0,284,1,Sonia,Gregory,sonia.gregory@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,291.0,1155 Liaocheng Place,,Oyo & Osun,22650.0,558236142492.0,2006-02-15 09:45:30,153.0,El Alto,2006-02-15 09:45:25,15.0,Brazil,2006-02-15 09:44:00
14.0,475,2,Pedro,Chestnut,pedro.chestnut@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,482.0,808 Naala-Porto Parkway,,England,41060.0,553452430707.0,2006-02-15 09:45:30,501.0,Sucre,2006-02-15 09:45:25,15.0,Brazil,2006-02-15 09:44:00
15.0,357,1,Keith,Rico,keith.rico@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,364.0,1623 Kingstown Drive,,Buenos Aires,91299.0,296394569728.0,2006-02-15 09:45:30,21.0,Alvorada,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,531,2,Jamie,Waugh,jamie.waugh@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,540.0,949 Allende Lane,,Uttar Pradesh,67521.0,122981120653.0,2006-02-15 09:45:30,25.0,Angra dos Reis,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,305,1,Richard,Mccrary,richard.mccrary@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,312.0,1354 Siegen Street,,Rio de Janeiro,80184.0,573441801529.0,2006-02-15 09:45:30,26.0,Anpolis,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,44,1,Marie,Turner,marie.turner@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,49.0,1718 Valencia Street,,Antofagasta,37359.0,675292816413.0,2006-02-15 09:45:30,28.0,Aparecida de Goinia,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,136,2,Anita,Morales,anita.morales@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,141.0,1749 Daxian Place,,Gelderland,11044.0,963369996279.0,2006-02-15 09:45:30,30.0,Araatuba,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,557,1,Felix,Gaffney,felix.gaffney@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,566.0,1229 Varanasi (Benares) Manor,,Buenos Aires,40195.0,817740355461.0,2006-02-15 09:45:30,44.0,Bag,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,211,1,Stacey,Montgomery,stacey.montgomery@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,216.0,660 Jedda Boulevard,,Washington,25053.0,168758068397.0,2006-02-15 09:45:30,66.0,Belm,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,93,1,Phyllis,Foster,phyllis.foster@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,98.0,152 Kitwe Parkway,,Caraga,53182.0,835433605312.0,2006-02-15 09:45:30,83.0,Blumenau,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,205,2,Eileen,Carr,eileen.carr@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,210.0,1304 s-Hertogenbosch Way,,Santa Catarina,10925.0,90336226227.0,2006-02-15 09:45:30,84.0,Boa Vista,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,84,2,Sara,Perry,sara.perry@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,89.0,1557 Ktahya Boulevard,,England,88002.0,720998247660.0,2006-02-15 09:45:30,89.0,Braslia,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,459,1,Tommy,Collazo,tommy.collazo@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,466.0,118 Jaffna Loop,,Northern Mindanao,10447.0,325526730021.0,2006-02-15 09:45:30,183.0,Goinia,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,362,1,Nicholas,Barfield,nicholas.barfield@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,369.0,817 Laredo Avenue,,Jalisco,77449.0,151249681135.0,2006-02-15 09:45:30,189.0,Guaruj,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,425,2,Francis,Sikes,francis.sikes@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,432.0,259 Ipoh Drive,,So Paulo,64964.0,419009857119.0,2006-02-15 09:45:30,190.0,guas Lindas de Gois,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,562,1,Wallace,Slone,wallace.slone@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,571.0,1746 Faaa Way,,Huanuco,32515.0,863080561151.0,2006-02-15 09:45:30,215.0,Ibirit,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,578,2,Willard,Lumpkin,willard.lumpkin@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,587.0,760 Miyakonojo Drive,,Guerrero,64682.0,294449058179.0,2006-02-15 09:45:30,247.0,Juazeiro do Norte,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,46,2,Catherine,Campbell,catherine.campbell@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,51.0,686 Garland Manor,,Cear,52535.0,69493378813.0,2006-02-15 09:45:30,248.0,Juiz de Fora,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,29,2,Angela,Hernandez,angela.hernandez@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,34.0,1668 Anpolis Street,,Taipei,50199.0,525255540978.0,2006-02-15 09:45:30,317.0,Luzinia,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,19,1,Ruth,Martinez,ruth.martinez@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,24.0,1688 Okara Way,,Nothwest Border Prov,21954.0,144453869132.0,2006-02-15 09:45:30,328.0,Maring,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,568,2,Alberto,Henning,alberto.henning@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,577.0,1501 Pangkal Pinang Avenue,,Mazowieckie,943.0,770864062795.0,2006-02-15 09:45:30,410.0,Po,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,504,1,Nathaniel,Adam,nathaniel.adam@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,511.0,1152 al-Qatif Lane,,Kalimantan Barat,44816.0,131370665218.0,2006-02-15 09:45:30,413.0,Poos de Caldas,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,408,1,Manuel,Murrell,manuel.murrell@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,415.0,432 Garden Grove Street,,Ontario,65630.0,615964523510.0,2006-02-15 09:45:30,431.0,Rio Claro,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,301,2,Robert,Baughman,robert.baughman@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,308.0,687 Alessandria Parkway,,Sanaa,57587.0,407218522294.0,2006-02-15 09:45:30,456.0,Santa Brbara dOeste,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,256,2,Mabel,Holland,mabel.holland@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,263.0,532 Toulon Street,,Santiago,69517.0,46871694740.0,2006-02-15 09:45:30,461.0,Santo Andr,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,126,1,Ellen,Simpson,ellen.simpson@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,131.0,801 Hagonoy Drive,,Smolensk,8439.0,237426099212.0,2006-02-15 09:45:30,485.0,So Bernardo do Campo,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,541,2,Darren,Windham,darren.windham@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,550.0,1715 Okayama Street,,So Paulo,55676.0,169352919175.0,2006-02-15 09:45:30,486.0,So Leopoldo,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,85,2,Anne,Powell,anne.powell@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,90.0,870 Ashqelon Loop,,Songkhla,84931.0,135117278909.0,2006-02-15 09:45:30,490.0,Sorocaba,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,506,2,Leslie,Seward,leslie.seward@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,513.0,758 Korolev Parkway,,Andhra Pradesh,75474.0,441628280920.0,2006-02-15 09:45:30,569.0,Vila Velha,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
15.0,520,2,Mitchell,Westmoreland,mitchell.westmoreland@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,529.0,600 Purnea (Purnia) Avenue,,Nghe An,18043.0,638409958875.0,2006-02-15 09:45:30,572.0,Vitria de Santo Anto,2006-02-15 09:45:25,16.0,Brunei,2006-02-15 09:44:00
16.0,350,1,Juan,Fraley,juan.fraley@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,357.0,1641 Changhwa Place,,Nord-Ouest,37636.0,256546485220.0,2006-02-15 09:45:30,53.0,Bandar Seri Begawan,2006-02-15 09:45:25,17.0,Bulgaria,2006-02-15 09:44:00
17.0,455,2,Jon,Wiles,jon.wiles@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,462.0,1485 Bratislava Place,,Illinois,83183.0,924663855568.0,2006-02-15 09:45:30,436.0,Ruse,2006-02-15 09:45:25,18.0,Cambodia,2006-02-15 09:44:00
17.0,82,1,Kathryn,Coleman,kathryn.coleman@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,87.0,929 Tallahassee Loop,,Gauteng,74671.0,800716535041.0,2006-02-15 09:45:30,498.0,Stara Zagora,2006-02-15 09:45:25,18.0,Cambodia,2006-02-15 09:44:00
18.0,439,2,Alexander,Fennell,alexander.fennell@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,446.0,1924 Shimonoseki Drive,,Batna,52625.0,406784385440.0,2006-02-15 09:45:30,60.0,Battambang,2006-02-15 09:45:25,19.0,Cameroon,2006-02-15 09:44:00
18.0,179,1,Dana,Hart,dana.hart@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,184.0,1410 Benin City Parkway,,Risaralda,29747.0,104150372603.0,2006-02-15 09:45:30,406.0,Phnom Penh,2006-02-15 09:45:25,19.0,Cameroon,2006-02-15 09:44:00
19.0,207,1,Gertrude,Castillo,gertrude.castillo@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,212.0,624 Oshawa Boulevard,,West Bengali,89959.0,49677664184.0,2006-02-15 09:45:30,52.0,Bamenda,2006-02-15 09:45:25,20.0,Canada,2006-02-15 09:44:00
19.0,270,1,Leah,Curtis,leah.curtis@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,277.0,85 San Felipe de Puerto Plata Drive,,Shandong,46063.0,170739645687.0,2006-02-15 09:45:30,585.0,Yaound,2006-02-15 09:45:25,20.0,Canada,2006-02-15 09:44:00
20.0,558,1,Jimmie,Eggleston,jimmie.eggleston@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,0,567.0,1894 Boa Vista Way,,Texas,77464.0,239357986667.0,2006-02-15 09:45:30,179.0,Gatineau,2006-02-15 09:45:25,21.0,Chad,2006-02-15 09:44:00
20.0,185,1,Roberta,Harper,roberta.harper@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,190.0,435 0 Way,,West Bengali,74750.0,760171523969.0,2006-02-15 09:45:30,196.0,Halifax,2006-02-15 09:45:25,21.0,Chad,2006-02-15 09:44:00
20.0,566,1,Casey,Mena,casey.mena@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,575.0,1052 Pathankot Avenue,,Sichuan,77397.0,128499386727.0,2006-02-15 09:45:30,300.0,Lethbridge,2006-02-15 09:45:25,21.0,Chad,2006-02-15 09:44:00
20.0,251,2,Vickie,Brewer,vickie.brewer@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,256.0,1497 Yuzhou Drive,,England,3433.0,246810237916.0,2006-02-15 09:45:30,313.0,London,2006-02-15 09:45:25,21.0,Chad,2006-02-15 09:44:00
20.0,510,2,Ben,Easter,ben.easter@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,0,517.0,548 Uruapan Street,,Ontario,35653.0,879347453467.0,2006-02-15 09:45:30,313.0,London,2006-02-15 09:45:25,21.0,Chad,2006-02-15 09:44:00
20.0,335,1,Gregory,Mauldin,gregory.mauldin@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,342.0,124 al-Manama Way,,Hiroshima,52368.0,647899404952.0,2006-02-15 09:45:30,383.0,Oshawa,2006-02-15 09:45:25,21.0,Chad,2006-02-15 09:44:00
20.0,356,2,Gerald,Fultz,gerald.fultz@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,363.0,604 Bern Place,,Jharkhand,5373.0,620719383725.0,2006-02-15 09:45:30,430.0,Richmond Hill,2006-02-15 09:45:25,21.0,Chad,2006-02-15 09:44:00
20.0,401,2,Tony,Carranza,tony.carranza@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,408.0,990 Etawah Loop,,Tamil Nadu,79940.0,206169448769.0,2006-02-15 09:45:30,565.0,Vancouver,2006-02-15 09:45:25,21.0,Chad,2006-02-15 09:44:00
21.0,36,2,Kathleen,Adams,kathleen.adams@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,41.0,1440 Fukuyama Loop,,Henan,47929.0,912257250465.0,2006-02-15 09:45:30,363.0,NDjamna,2006-02-15 09:45:25,22.0,Chile,2006-02-15 09:44:00
22.0,228,2,Allison,Stanley,allison.stanley@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,233.0,356 Olomouc Manor,,Gois,93323.0,22326410776.0,2006-02-15 09:45:30,27.0,Antofagasta,2006-02-15 09:45:25,23.0,China,2006-02-15 09:44:00
22.0,181,2,Ana,Bradley,ana.bradley@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,186.0,533 al-Ayn Boulevard,,California,8862.0,662227486184.0,2006-02-15 09:45:30,127.0,Coquimbo,2006-02-15 09:45:25,23.0,China,2006-02-15 09:44:00
22.0,334,2,Raymond,Mcwhorter,raymond.mcwhorter@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,341.0,1920 Weifang Avenue,,Uttar Pradesh,15643.0,869507847714.0,2006-02-15 09:45:30,428.0,Rancagua,2006-02-15 09:45:25,23.0,China,2006-02-15 09:44:00
23.0,320,2,Anthony,Schwab,anthony.schwab@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,327.0,1427 A Corua (La Corua) Place,,Buenos Aires,85799.0,972574862516.0,2006-02-15 09:45:30,46.0,Baicheng,2006-02-15 09:45:25,24.0,Colombia,2006-02-15 09:44:00
23.0,535,1,Javier,Elrod,javier.elrod@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,544.0,183 Haiphong Street,,Jilin,69953.0,488600270038.0,2006-02-15 09:45:30,47.0,Baiyin,2006-02-15 09:45:25,24.0,Colombia,2006-02-15 09:44:00
23.0,556,2,Armando,Gruber,armando.gruber@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,565.0,1741 Hoshiarpur Boulevard,,al-Sharqiya,22372.0,855066328617.0,2006-02-15 09:45:30,80.0,Binzhou,2006-02-15 09:45:25,24.0,Colombia,2006-02-15 09:44:00
23.0,74,1,Denise,Kelly,denise.kelly@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,79.0,1551 Rampur Lane,,Changhwa,72394.0,251164340471.0,2006-02-15 09:45:30,109.0,Changzhou,2006-02-15 09:45:25,24.0,Colombia,2006-02-15 09:44:00
23.0,398,1,Antonio,Meek,antonio.meek@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,405.0,530 Lausanne Lane,,Texas,11067.0,775235029633.0,2006-02-15 09:45:30,136.0,Datong,2006-02-15 09:45:25,24.0,Colombia,2006-02-15 09:44:00
23.0,26,2,Jessica,Hall,jessica.hall@sakilacustomer.org,t,2006-02-14,2013-05-26 14:49:45.738,1,31.0,217 Botshabelo Place,,Southern Mindanao,49521.0,665356572025.0,2006-02-15 09:45:30,139.0,Daxian,2006-02-15 09:45:25,24.0,Colombia,2006-02-15 09:44:00
